Date,BECI
2017/9/12,16.73155405
2017/9/13,16.80262739
2017/9/14,16.85903398
2017/9/15,16.94557463
2017/9/16,17.07544504
2017/9/17,17.16357787
2017/9/18,17.30170898
2017/9/19,17.43745138
2017/9/20,17.54421107
2017/9/21,17.68044012
2017/9/22,17.77396989
2017/9/23,17.90704783
2017/9/24,18.00053801
2017/9/25,18.13577273
2017/9/26,18.27367965
2017/9/27,18.38147912
2017/9/28,18.53097741
2017/9/29,18.64041965
2017/9/30,18.79189634
2017/10/01,18.90449579
2017/10/02,19.05812323
2017/10/03,19.21054777
2017/10/04,19.32368792
2017/10/05,19.47730394
2017/10/06,19.59198859
2017/10/07,19.75024531
2017/10/08,19.8700158
2017/10/09,20.03361829
2017/10/10,20.17078309
2017/10/11,20.33135329
2017/10/12,20.51658916
2017/10/13,20.66887135
2017/10/14,20.87156356
2017/10/15,21.03343752
2017/10/16,21.2400444
2017/10/17,21.39373573
2017/10/18,21.59336974
2017/10/19,21.75271442
2017/10/20,21.96502961
2017/10/21,22.13480199
2017/10/22,22.34502751
2017/10/23,22.50419716
2017/10/24,22.70695634
2017/10/25,22.91032749
2017/10/26,23.07236158
2017/10/27,23.27889856
2017/10/28,23.43290985
2017/10/29,23.64657506
2017/10/30,23.81760476
2017/10/31,24.05352146
2017/11/01,24.25011745
2017/11/02,24.515028
2017/11/03,24.73412896
2017/11/04,25.02138422
2017/11/05,25.25464835
2017/11/06,25.5408687
2017/11/07,25.75666402
2017/11/08,26.04641977
2017/11/09,26.2743972
2017/11/10,26.55776316
2017/11/11,26.77696773
2017/11/12,27.0543363
2017/11/13,27.28211625
2017/11/14,27.60110044
2017/11/15,27.89087595
2017/11/16,28.24771555
2017/11/17,28.47589348
2017/11/18,28.67077634
2017/11/19,28.85578233
2017/11/20,29.05196431
2017/11/21,29.24363594
2017/11/22,29.51792139
2017/11/23,29.8636234
2017/11/24,30.13314862
2017/11/25,30.15605662
2017/11/26,30.13797039
2017/11/27,30.22558991
2017/11/28,30.2454333
2017/11/29,30.28689413
2017/11/30,30.59224177
2017/12/01,30.98987743
2017/12/02,31.04891891
2017/12/03,31.25290255
2017/12/04,31.60244981
2017/12/05,31.96057625
2017/12/06,32.36258612
2017/12/07,32.55594227
2017/12/08,32.52960102
2017/12/09,32.5617337
2017/12/10,32.56496472
2017/12/11,32.68430854
2017/12/12,32.71456323
2017/12/13,32.72847682
2017/12/14,33.17569184
2017/12/15,33.73385253
2017/12/16,34.34173602
